id_phrase,phrase,prompt
229,i can't ride my car at night because i have blurry vision.,Blurry vision
230,I feel pain in the knee,Knee pain
231,I can't stand with this horrible feeling in my stomach,Stomach ache
232,"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
233,When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold
234,my ankle is hurting me,Joint pain
235,My knee is hurting so badly.,Joint pain
236,fell skull is cracked like nuts,Head ache
237,It is like I have a needle pushing through my heart.,Heart hurts
238,My chest acne breaks out and never clears up.,Acne
239,my hair isn't well,Hair falling out
240,It feels like someone stuck a knife into my shoulder,Shoulder pain
241,I feel a great amount of pressure of my head.,Head ache
242,my hand open wound got infected,Infected wound
243,I feel great pressure in my chest,Hard to breath
244,I'm not feeling good I can't take my breath,Hard to breath
245,i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
246,I have an open wound in my arm,Open wound
247,i cant sleep because of cough,Cough
248,"It is hard to breath when I am in the underground metro station, why?",Hard to breath
249,I break out on my face very frequently,Acne
250,"can't do any exercise, i feel weak",Body feels weak
251,My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
252,My shoulder muscle hurts when I try to reach up.,Muscle pain
253,I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out
254,i feel that is great pain in my left shoulder,Shoulder pain
255,I feel pain inside and I can not identify it,Internal pain
256,I feel a pain in my back,Back pain
257,Is there a cure for acne?,Acne
258,I have a pain in my muscle,Muscle pain
259,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
260,I feel sad like hurt or pain,Emotional pain
261,My body feels weak although I take my vitamins regularly.,Body feels weak
262,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
263,I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
264,I have a red rash that is itchy on my skin,Skin issue
265,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
266,I feel pain in my neck after waking up,Neck pain
267,My neck has been sore since the accident.,Neck pain
268,"i feel hurt, lot of pain in my heart",Emotional pain
269,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
270,"It is hard to breath when I am in the underground metro station, why?",Hard to breath
271,I have a dull ache in my head,Head ache
272,"I feel a pain on the left side of my chest, where my heart is",Heart hurts
273,When I wake up I am feeling cold,Feeling cold
274,there is acne on my face,Acne
275,I'm not good i'm feeling so cold,Feeling cold
276,I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound
277,"It's hard to stand up, and I'm moving very slowly",Body feels weak
278,There is so much pain when I move my arm.,Shoulder pain
279,I read a book for along time and when I finished reading I feel head ache,Head ache
280,I lose a lot of my hair,Hair falling out
281,i have injured myself during the soccer match,Injury from sports
282,My television and computer seem out of focus even though I have new glasses.,Blurry vision
283,When I wake up in the morning I feel a soreness in my body,Muscle pain
284,I feel a great amount of pressure of my head.,Head ache
285,I feel pain in my heart when I wake up,Heart hurts
286,I break out on my face very frequently,Acne
287,I have a back pain since I turned 70 years old.,Back pain
288,I feel like something is squeezing my lungs.,Hard to breath
289,My foot had been aching since last Tuesday.,Foot ache
290,My back hurts a lot when I bend,Back pain
291,I feel pain in the knee,Knee pain
292,Everything looks like beeing in a smoky area.,Blurry vision
293,"Every time I make an effort, I felt dizzy.",Feeling dizzy
294,Have severe cold and cough,Cough
295,I feel like something is squeezing my lungs.,Hard to breath
296,I feel pain in the knee when walking,Knee pain
297,Chronic bowel Pain,Internal pain
298,When I played football I dislocated my shoulder,Injury from sports
299,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts
300,I feel pain in my right shoulder after the tennis match.,Injury from sports
301,There is this pain that radiates from my chest up to my left arm.,Heart hurts
302,I have pimples in patches along with a lot of redness on my face.,Acne
303,"i can't move my leg, there is pain in the joint",Joint pain
304,I feel a tightness in my chest,Hard to breath
305,I have a mental suffering,Emotional pain
306,I feel a sharp pain in my ankle joint when I stand.,Joint pain
307,My head hurts in the back and the pain lasts all day.,Head ache
308,What helps cuts heal faster?,Open wound
309,My knee doesn't want to bend well.,Knee pain
310,My knees seem to grind as I go up or down stairs.,Knee pain
311,When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy
312,My sore isn't healing well and it's been like this for two weeks.,Open wound
313,After walking I have some pain under my foot,Foot ache
314,I hit myself and the would doesn't want to heal,Open wound
315,I have some pain when i'm walking around my knees,Joint pain
316,When I stand up too quick my vision is blurry.,Blurry vision
317,Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath
318,I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
319,The severe pain in the stomach I feel,Stomach ache
320,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
321,I can`t stop coughing.,Cough
322,There is an injured person,Infected wound
323,It hurts when I raise my arm up,Shoulder pain
324,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
325,When I eat too much sugar my body gets weak and dizzy.,Body feels weak
326,When I stand up too quick my vision is blurry.,Blurry vision
327,My right shoulder clicks when I move my arm.,Shoulder pain
328,I have a rash and it itches very bad.,Skin issue
329,I have constant stomach pain and bloating.,Internal pain
330,My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
331,I knocked my foot and it really hurts.,Foot ache
332,My son has a lot of acne.,Acne
333,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
334,I feel a tightness in my chest,Hard to breath
335,My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache
336,Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
337,My neck feels stiff,Neck pain
338,I feel dizzy after doing a muscular effort.,Feeling dizzy
339,I have pimples in patches along with a lot of redness on my face.,Acne
340,I feel lightheaded when I stand up,Feeling dizzy
341,I feel a burning sensation in my shoulder muscle.,Muscle pain
342,I feel a lot of pain in the joints.,Joint pain
343,The acne was causing me to feel embarrassed.,Acne
344,I have a mental suffering,Emotional pain
345,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
346,Whenever I stand up I feel dizzy.,Feeling dizzy
347,I have a split on my thumb that will not heal.,Open wound
348,i was playing football and injuried with joint pain.,Joint pain
349,I can't see the sign I have a blurry vision,Blurry vision
350,The pain in my ear is unbearable.,Ear ache
351,When I stand I feel dizzy I do not know why,Feeling dizzy
352,I have a red rash that is itchy on my skin,Skin issue
353,"My heart hurts while I'm sad, why?",Heart hurts
354,I have a headache almost every day,Head ache
355,There is a constant tickle in my throat,Cough
356,My body aches on the inside between my hips and shoulders.,Internal pain
357,My throught is so sore.,Neck pain
358,There are lots of hairs on my pillow in the morning.,Hair falling out
359,I have a scab on the back of my hand that just won't go away.,Skin issue
360,I have a very rash sensation close to my arms,Skin issue
361,When i'm doing sport I have pain under my skin,Muscle pain
362,I hit my head at the basketball game.  Could I have a concussion?,Injury from sports
363,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts
364,my hair isn't well,Hair falling out
365,"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath
366,my neck hurts me and i can't look down or up,Neck pain
367,I don't do anything at home and still I feel exhausted.,Body feels weak
368,I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain
369,I feel lightheaded,Feeling dizzy
370,I wake up at night feeling cold,Feeling cold
371,When I go to sleep I am feeling cold,Feeling cold
372,i can't move my shoulder because of pain,Shoulder pain
373,my back hurts me a lot,Back pain
374,Feels like there are pins and needles sticking in my joints,Joint pain
375,I have internal pain whenever I come down with a cold.,Internal pain
376,I get breakouts on my chest with red patches that get more intense when i get hot.,Acne
377,"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
378,i can't ride my car at night because i have blurry vision.,Blurry vision
379,I have eruptions on my face that come and go .,Acne
380,i have a hard pain in my stomach,Stomach ache
381,There is a constant tickle in my throat,Cough
382,My throught is so sore.,Neck pain
383,"Every time I make an effort, I felt dizzy.",Feeling dizzy
384,i have a very bad cough,Cough
385,"I've tried reading books, but nothing can cheer me up.",Emotional pain
386,I feel a great pain in my shoulder joint and it does not go away,Joint pain
387,I have a rash on my skin,Skin issue
388,When I play football I have joint pain.,Joint pain
389,Severe pain in the ear,Ear ache
390,What helps cuts heal faster?,Open wound
391,Chronic disease of hair follicles and sebaceous glands,Acne
392,When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out
393,i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
394,My shoulder muscle hurts when I try to reach up.,Muscle pain
395,When I carry heavy things i feel like breaking my back,Back pain
396,I have dark spots on my skin,Skin issue
397,I feel abdominal pain,Stomach ache
398,"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
399,I feel fluid trying to come up when I cough.,Cough
400,"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath
401,Need to scratch my skin every minute,Skin issue
402,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
403,It hurts when I bent my arm,Joint pain
404,I have pain in my stomach,Stomach ache
405,Stomach pain after drinking milk,Stomach ache
406,i feel pain in my knee,Knee pain
407,The wound is still open,Open wound
408,There is an injured person,Infected wound
409,When I eat sugar I notice my vision blurs.,Blurry vision
410,I have pain in my colon and my stomach like something cutting it,Stomach ache
411,I feel dizzy whenever I stand up.,Feeling dizzy
412,My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
413,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache
414,Even though I'm an adult my face keeps breaking out in pimples.,Acne
415,"My body feels weak after my first day in the gym, why?",Body feels weak
416,When I play football I have joint pain.,Joint pain
417,It's hard to see things,Blurry vision
418,i have a problem in seeing objects it is too difficult to see,Blurry vision
419,My joints feel swollen,Joint pain
420,I feel abdominal pain,Stomach ache
421,My cough is very heavy and I have mucus.,Cough
422,I feel strong pain in my knee after it was hit during the football match.,Injury from sports
423,When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
424,I have a rash on my skin,Skin issue
425,Oh my heart hurts me I tried to be calm and I can't,Heart hurts
426,standing less than five minutes and my back start to ache,Back pain
427,It hurts when I raise my arm up,Shoulder pain
428,My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound
429,Is pimples a skin disease?,Acne
430,I fell off my bike and since then I had hard  knee pain,Knee pain
431,When I wake up I am feeling cold,Feeling cold
432,I'm having a hard time reading because the letters are all fuzzy,Blurry vision
433,The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache
434,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
435,My son has a lot of acne.,Acne
436,"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne
437,My cough is very heavy and I have mucus.,Cough
438,I feel abdominal pain,Stomach ache
439,My head is so heavy can't think normally,Head ache
440,I feel hurts in my heart,Heart hurts
441,"i can't walk, my knee hurts me",Knee pain
442,"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
443,I feel a sharp pain in the stomach after eating,Stomach ache
444,Since I went into the forest  I have pain on my ear,Ear ache
445,My knee doesn't want to bend well.,Knee pain
446,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.",Blurry vision
447,Every time I take a deep breath I start coughing,Cough
448,i feel pain in my back,Back pain
449,"Every time I make an effort, I felt dizzy.",Feeling dizzy
450,I feel a tightness in my chest,Hard to breath
451,I feel a sharp pain in my ankle joint when I stand.,Joint pain
452,My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache
453,i have a pain in my trapes,Muscle pain
454,The pain in my ear is unbearable.,Ear ache
455,I fell a stiffness in my elbows and shoulders,Joint pain
456,When I play sports  I have some burning sensation in my spine,Back pain
457,"My hair is coming out in chunks, especially when I wash it",Hair falling out
458,When I stand up too quick my vision is blurry.,Blurry vision
459,I have a very rash sensation close to my arms,Skin issue
460,It hurts when I raise my arm up,Shoulder pain
461,My ear is ringing.,Ear ache
462,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
463,When I play football I have joint pain.,Joint pain
464,My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
465,When I eat too much sugar my body gets weak and dizzy.,Body feels weak
466,I can't turn my neck to the left without feeling a stabbing pain,Neck pain
467,My heart is beating fast and it scares me.,Heart hurts
468,My wound opened up again,Open wound
469,i hit the ground when trying to shoot a basketball,Injury from sports
470,My son has a lot of acne.,Acne
471,I have a foot ache after running 500m with my running shoes.,Foot ache
472,my shoulder is hurting me,Shoulder pain
473,Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain
474,"It's hard to stand up, and I'm moving very slowly",Body feels weak
475,I feel pain in my knee when I climb the stairs.,Joint pain
476,"i feel hurt, lot of pain in my heart",Emotional pain
477,I feel discomfort throughout the body in general,Body feels weak
478,I can't sleep I have a hard cough,Cough
479,After a breakup  I feel something strange in me.,Emotional pain
480,i have a strong shoulder pain,Shoulder pain
481,I can't stand with this horrible feeling in my shoulder,Shoulder pain
482,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
483,I'm in need for a treatment for my hair fall,Hair falling out
484,I have a lot of mucus when I cough.,Cough
485,I feel pain in my ears with tinnitus,Ear ache
486,my back hurts me a lot,Back pain
487,I feel like there is something swollen and inflamed at the back of my knee.,Knee pain
488,I feel strong pain in my knee after it was hit during the football match.,Injury from sports
489,There's swelling in my neck and it hurts.,Neck pain
490,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
491,I think there's fluid in my ears.,Ear ache
492,Feels like there are pins and needles sticking in my joints,Joint pain
493,The wound is still open,Open wound
494,When I force my eyes to view I have blurry vision.,Blurry vision
495,My heart is pumping fast and I'm having a hard time to breath.,Hard to breath
496,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts
497,When i'm doing sport I have pain under my skin,Muscle pain
498,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
499,My acne itches and oozes.,Acne
500,I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound
501,When I stand up too quick my vision is blurry.,Blurry vision
502,When I was young I had an injury from sports in my knee.,Injury from sports
503,I m feeling cold though the temperature is high,Feeling cold
504,I feel pain in my knee when I climb the stairs.,Joint pain
505,My biceps started aching after I went to the gym,Muscle pain
506,I feel cold although we are in summer.,Feeling cold
507,Chronic disease of hair follicles and sebaceous glands,Acne
508,I have a split on my thumb that will not heal.,Open wound
509,I feel lightheaded when I stand up,Feeling dizzy
510,"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision
511,I tried alot of cream but i still feel the same skin problem,Skin issue
512,"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
513,"Annoyance starts suddenly, often after an injury or exercise.",Knee pain
514,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound
515,"I have a foot ache in winter, or when it feels cold, why?",Foot ache
516,glass broken and wound my leg badly the wound is so wide,Open wound
517,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
518,My knee catches and hurts when I first stand up after sitting.,Knee pain
519,i have a hard pain in my stomach,Stomach ache
520,i have severe dry cough,Cough
521,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
522,"I hardly have enough stength to get up,",Body feels weak
523,Sterilizer for the eye,Blurry vision
524,My shoulder aches when I try to lift five pounds.,Shoulder pain
525,i have a hard pain in my stomach,Stomach ache
526,I have shooting pain in my kneecap after working out.,Knee pain
527,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound
528,I have shoulder pain when I try to carry my groceries.,Shoulder pain
529,I feel weak all over.,Body feels weak
530,The crushing sensation on my heart leaves me breathless.,Heart hurts
531,I'm not good i'm feeling so cold,Feeling cold
532,My head hurts when I'm doing this.,Head ache
